"id","group","day","beep","t","phase","value"
1,0,1,1,1,0,14.2
1,0,1,2,2,0,15.3844
1,0,1,3,3,0,16.7689
1,0,1,4,4,0,15.7533
1,0,1,5,5,0,
1,0,1,6,6,0,
1,0,2,1,7,0,6.3067
1,0,2,2,8,0,17.8911
1,0,2,3,9,0,9.8756
1,0,2,4,10,0,2.46
1,0,2,5,11,0,
1,0,2,6,12,0,
1,0,3,1,13,0,11.0134
1,0,3,2,14,0,9.1978
1,0,3,3,15,0,9.1823
1,0,3,4,16,0,3.5667
1,0,3,5,17,0,
1,0,3,6,18,0,
1,0,4,1,19,0,2.7201
1,0,4,2,20,0,14.3045
1,0,4,3,21,0,2.089
1,0,4,4,22,0,8.8734
1,0,4,5,23,0,
1,0,4,6,24,0,
1,0,5,1,25,0,7.0268
1,0,5,2,26,0,14.6112
1,0,5,3,27,0,23.9957
1,0,5,4,28,0,19.3801
1,0,5,5,29,0,
1,0,5,6,30,0,
1,0,6,1,31,0,16.7335
1,0,6,2,32,0,18.9179
1,0,6,3,33,0,8.9024
1,0,6,4,34,0,18.8868
1,0,6,5,35,0,
1,0,6,6,36,0,
1,0,7,1,37,0,7.0401
1,0,7,2,38,0,19.2246
1,0,7,3,39,0,11.609
1,0,7,4,40,0,11.3935
1,0,7,5,41,0,
1,0,7,6,42,0,
1,0,8,1,43,0,16.7468
1,0,8,2,44,0,18.5313
1,0,8,3,45,0,25.5157
1,0,8,4,46,0,23.3002
1,0,8,5,47,0,
1,0,8,6,48,0,
1,0,9,1,49,1,19.4535
1,0,9,2,50,1,20.238
1,0,9,3,51,1,6.6224
1,0,9,4,52,1,14.4069
1,0,9,5,53,1,
1,0,9,6,54,1,
1,0,10,1,55,1,18.5602
1,0,10,2,56,1,26.1447
1,0,10,3,57,1,31.3291
1,0,10,4,58,1,32.1136
1,0,10,5,59,1,
1,0,10,6,60,1,
1,0,11,1,61,1,23.0669
1,0,11,2,62,1,27.2514
1,0,11,3,63,1,22.4358
1,0,11,4,64,1,16.2203
1,0,11,5,65,1,
1,0,11,6,66,1,
1,0,12,1,67,1,25.9736
1,0,12,2,68,1,23.3581
1,0,12,3,69,1,24.5425
1,0,12,4,70,1,18.927
1,0,12,5,71,1,
1,0,12,6,72,1,
1,0,13,1,73,1,23.6803
1,0,13,2,74,1,21.4647
1,0,13,3,75,1,45.2492
1,0,13,4,76,1,25.6336
1,0,13,5,77,1,
1,0,13,6,78,1,
1,0,14,1,79,1,22.987
1,0,14,2,80,1,22.7714
1,0,14,3,81,1,18.3559
1,0,14,4,82,1,13.5403
1,0,14,5,83,1,
1,0,14,6,84,1,
1,0,15,1,85,1,14.0937
1,0,15,2,86,1,12.8781
1,0,15,3,87,1,18.8626
1,0,15,4,88,1,17.647
1,0,15,5,89,1,
1,0,15,6,90,1,
1,0,16,1,91,1,14.2004
1,0,16,2,92,1,36.3848
1,0,16,3,93,1,19.1693
1,0,16,4,94,1,23.5537
1,0,16,5,95,1,
1,0,16,6,96,1,
1,0,17,1,97,1,23.9071
1,0,17,2,98,1,36.4915
1,0,17,3,99,1,16.876
1,0,17,4,100,1,15.4604
1,0,17,5,101,1,
1,0,17,6,102,1,
1,0,18,1,103,1,28.6138
1,0,18,2,104,1,
1,0,18,3,105,1,20.5826
1,0,18,4,106,1,33.1671
1,0,18,5,107,1,
1,0,18,6,108,1,
1,0,19,1,109,1,17.5204
1,0,19,2,110,1,14.3049
1,0,19,3,111,1,
1,0,19,4,112,1,28.8738
1,0,19,5,113,1,
1,0,19,6,114,1,
1,0,20,1,115,1,30.6271
1,0,20,2,116,1,20.6116
1,0,20,3,117,1,24.196
1,0,20,4,118,1,31.1805
1,0,20,5,119,1,
1,0,20,6,120,1,
1,0,21,1,121,1,27.1338
1,0,21,2,122,1,14.1183
1,0,21,3,123,1,21.7027
1,0,21,4,124,1,26.0872
1,0,21,5,125,1,
1,0,21,6,126,1,
1,0,22,1,127,1,21.6405
1,0,22,2,128,1,29.025
1,0,22,3,129,1,26.6094
1,0,22,4,130,1,42.1939
1,0,22,5,131,1,
1,0,22,6,132,1,
1,0,23,1,133,1,10.3472
1,0,23,2,134,1,25.3317
1,0,23,3,135,1,29.5161
1,0,23,4,136,1,25.9006
1,0,23,5,137,1,
1,0,23,6,138,1,
1,0,24,1,139,1,15.2539
1,0,24,2,140,1,15.0383
1,0,24,3,141,1,19.0228
1,0,24,4,142,1,16.4072
1,0,24,5,143,1,
1,0,24,6,144,1,
1,0,25,1,145,1,22.3606
1,0,25,2,146,1,29.545
1,0,25,3,147,1,26.9295
1,0,25,4,148,1,
1,0,25,5,149,1,
1,0,25,6,150,1,
1,0,26,1,151,1,14.4673
1,0,26,2,152,1,17.4517
1,0,26,3,153,1,17.0362
1,0,26,4,154,1,24.6206
1,0,26,5,155,1,
1,0,26,6,156,1,
1,0,27,1,157,1,19.374
1,0,27,2,158,1,16.1584
1,0,27,3,159,1,17.3429
1,0,27,4,160,1,14.9273
1,0,27,5,161,1,
1,0,27,6,162,1,
1,0,28,1,163,1,41.6807
1,0,28,2,164,1,11.0651
1,0,28,3,165,1,21.8496
1,0,28,4,166,1,12.434
1,0,28,5,167,1,
1,0,28,6,168,1,
2,0,1,1,1,0,10.8
2,0,1,2,2,0,6.5844
2,0,1,3,3,0,1.9689
